,description,question,choices,answer
108,Teal triangles arranged in a tessellated pattern.,"['are there triangles?', 'what shape is this?', 'is there a pattern?', 'what is this?', 'are the triangles arranged in a tessellated pattern?', 'are the triangles teal?', 'what color are the triangles?', 'is this a tessellated pattern?', 'is this a tessellated or a random pattern?']","[['yes', 'no'], ['triangles', 'squares', 'circles', 'rectangles'], ['yes', 'no'], ['pattern', 'texture', 'design', 'motif'], ['yes', 'no'], ['yes', 'no'], ['teal', 'blue', 'red', 'yellow'], ['yes', 'no'], ['tessellated', 'random', 'symmetrical', 'asymmetrical']]","['yes', 'triangles', 'yes', 'pattern', 'yes', 'yes', 'teal', 'yes', 'tessellated']"
109,a stack of purple books,"['are there books?', 'what type of object is this?', 'are the books purple?', 'what color are the books?', 'is this a stack?', 'is this a stack or a pile?']","[['yes', 'no'], ['books', 'magazines', 'newspapers', 'pamphlets'], ['yes', 'no'], ['purple', 'blue', 'red', 'green'], ['yes', 'no'], ['stack', 'pile', 'heap', 'mound']]","['yes', 'books', 'yes', 'purple', 'yes', 'stack']"
110,a lonely lighthouse on a rocky coast,"['is this a lighthouse?', 'what type of building is this?', 'is this a rocky coast?', 'what type of place is this?', 'is the lighthouse lonely?', 'is the lighthouse lonely or crowded?']","[['yes', 'no'], ['lighthouse', 'church', 'school', 'hospital'], ['yes', 'no'], ['rocky coast', 'sandy beach', 'grassy field', 'forest'], ['yes', 'no'], ['lonely', 'crowded', 'empty', 'full']]","['yes', 'lighthouse', 'yes', 'rocky coast', 'yes', 'lonely']"
111,a calm blue ocean at dawn,"['is this an ocean?', 'what type of place is this?', 'is the ocean blue?', 'what color is the ocean?', 'is the ocean calm?', 'is the ocean calm or rough?', 'is this dawn?', 'is this dawn or dusk?']","[['yes', 'no'], ['ocean', 'lake', 'river', 'pond'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['calm', 'rough', 'wavy', 'turbulent'], ['yes', 'no'], ['dawn', 'dusk', 'noon', 'midnight']]","['yes', 'ocean', 'yes', 'blue', 'yes', 'calm', 'yes', 'dawn']"
112,Yellow lines radiating outwards,"['are there lines radiating outwards?', 'what type of object is this?', 'are the lines radiating outwards?', 'what is the lines doing?', 'are the lines yellow?', 'what color are the lines?', 'are the lines radiating outwards?', 'are the lines radiating outwards or inwards?']","[['yes', 'no'], ['lines', 'shapes', 'colors', 'numbers'], ['yes', 'no'], ['radiating', 'crossing', 'meeting', 'splitting'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['outwards', 'inwards', 'upwards', 'downwards']]","['yes', 'lines', 'yes', 'radiating', 'yes', 'yellow', 'yes', 'outwards']"
113,Cyan hexagons interlocking to form a honeycomb.,"['are the hexagons cyan?', 'what shape are the hexagons?', 'is the honeycomb a honeycomb?', 'what type of shape is this?', 'are the hexagons interlocking?', 'are the hexagons cyan?', 'what color are the hexagons?']","[['yes', 'no'], ['hexagons', 'squares', 'circles', 'triangles'], ['yes', 'no'], ['honeycomb', 'cage', 'box', 'cube'], ['yes', 'no'], ['yes', 'no'], ['cyan', 'red', 'blue', 'green']]","['yes', 'hexagons', 'yes', 'honeycomb', 'yes', 'yes', 'cyan']"
114,Indigo and gold concentric circles.,"['are there circles?', 'what shape is this?', 'are the circles indigo and gold?', 'what color are the circles?', 'are the circles concentric?', 'are the circles concentric or random?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['indigo and gold', 'red and blue', 'blue and yellow', 'red and yellow'], ['yes', 'no'], ['concentric', 'random', 'spiral', 'hexagonal']]","['yes', 'circles', 'yes', 'indigo and gold', 'yes', 'concentric']"
115,A gradient from cyan to magenta.,"['is this a gradient?', 'is this a gradient or a solid color?', 'is the color cyan?', 'what color is this?', 'is the color magenta?', 'what color is this?']","[['yes', 'no'], ['gradient', 'solid color', 'pattern', 'texture'], ['yes', 'no'], ['cyan', 'magenta', 'yellow', 'red'], ['yes', 'no'], ['magenta', 'cyan', 'yellow', 'green']]","['yes', 'gradient', 'yes', 'cyan', 'yes', 'magenta']"
116,Orange spirals and indigo squares,"['are there spirals?', 'what type of shape is this?', 'are there squares?', 'what type of shape is this?', 'are the spirals orange?', 'what color are the spirals?', 'are the squares indigo?', 'what color are the squares?']","[['yes', 'no'], ['spirals', 'circles', 'rectangles', 'triangles'], ['yes', 'no'], ['squares', 'circles', 'rectangles', 'triangles'], ['yes', 'no'], ['orange', 'red', 'yellow', 'green'], ['yes', 'no'], ['indigo', 'red', 'yellow', 'green']]","['yes', 'spirals', 'yes', 'squares', 'yes', 'orange', 'yes', 'indigo']"
117,a sunset over a calm ocean,"['is this a sunset?', 'is this an ocean?', 'what type of place is this?', 'is the ocean calm?', 'is the ocean calm or rough?']","[['yes', 'no'], ['yes', 'no'], ['ocean', 'lake', 'river', 'pond'], ['yes', 'no'], ['calm', 'rough', 'wavy', 'still']]","['yes', 'yes', 'ocean', 'yes', 'calm']"
118,a deep blue circle inside a yellow square,"['is there a circle inside a square?', 'what shape is inside the square?', 'is there a square?', 'what shape is outside the circle?', 'is the circle blue?', 'what color is the circle?', 'is the square yellow?', 'what color is the square?', 'is the circle deep blue?', 'is the circle deep blue or light blue?', 'is the square yellow?', 'is the square yellow or red?']","[['yes', 'no'], ['circle', 'triangle', 'rectangle', 'oval'], ['yes', 'no'], ['square', 'triangle', 'rectangle', 'oval'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['deep blue', 'light blue', 'red', 'yellow'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green']]","['yes', 'circle', 'yes', 'square', 'yes', 'blue', 'yes', 'yellow', 'yes', 'deep blue', 'yes', 'yellow']"
119,A gradient of pink to orange waves.,"['are there waves?', 'what type of object is this?', 'is the color pink?', 'what color is the waves?', 'is the color orange?', 'what color is the waves?', 'is this a gradient?']","[['yes', 'no'], ['waves', 'rocks', 'trees', 'flowers'], ['yes', 'no'], ['pink', 'red', 'blue', 'green'], ['yes', 'no'], ['orange', 'red', 'blue', 'green'], ['yes', 'no']]","['yes', 'waves', 'yes', 'pink', 'yes', 'orange', 'yes']"
120,an ochre desert landscape at sunset,"['is this a desert?', 'what type of place is this?', 'is this a landscape?', 'what type of place is this?', 'is the desert ochre?', 'what color is the desert?', 'is this a sunset?', 'is this a sunset or a sunrise?']","[['yes', 'no'], ['desert', 'forest', 'mountain', 'beach'], ['yes', 'no'], ['landscape', 'city', 'town', 'village'], ['yes', 'no'], ['ochre', 'red', 'yellow', 'green'], ['yes', 'no'], ['sunset', 'sunrise', 'noon', 'midnight']]","['yes', 'desert', 'yes', 'landscape', 'yes', 'ochre', 'yes', 'sunset']"
121,gradient fill from sky blue to sunset orange,"['is this a gradient fill?', 'is the sky blue?', 'what color is the sky?', 'is the sunset orange?', 'what color is the sunset?', 'is this a fill?']","[['yes', 'no'], ['yes', 'no'], ['sky blue', 'navy blue', 'blue', 'green'], ['yes', 'no'], ['sunset orange', 'sunset red', 'sunset yellow', 'sunset blue'], ['yes', 'no']]","['yes', 'yes', 'sky blue', 'yes', 'sunset orange', 'yes']"
122,green polygons arranged in a honeycomb pattern,"['are there polygons arranged in a honeycomb pattern?', 'what type of shape is this?', 'is this a honeycomb pattern?', 'what type of pattern is this?', 'are the polygons arranged in a honeycomb pattern?', 'are the polygons green?', 'what color are the polygons?']","[['yes', 'no'], ['polygons', 'circles', 'triangles', 'squares'], ['yes', 'no'], ['honeycomb pattern', 'checkerboard pattern', 'stripes', 'dots'], ['yes', 'no'], ['yes', 'no'], ['green', 'red', 'blue', 'yellow']]","['yes', 'polygons', 'yes', 'honeycomb pattern', 'yes', 'yes', 'green']"
123,Azure blue rhombus pattern repeating,"['is this a rhombus?', 'what shape is this?', 'is this a pattern?', 'is the pattern repeating?', 'is the color azure blue?', 'what color is this?']","[['yes', 'no'], ['rhombus', 'rectangle', 'square', 'circle'], ['yes', 'no'], ['yes', 'no'], ['yes', 'no'], ['azure blue', 'red', 'yellow', 'green']]","['yes', 'rhombus', 'yes', 'yes', 'yes', 'azure blue']"
124,A curving river flowing through rolling green hills.,"['is this a river?', 'what type of water is this?', 'are there hills?', 'what type of place is this?', 'is the river flowing?', 'what is the river doing?', 'are the hills green?', 'what color are the hills?', 'is the river curving?', 'what shape is the river?', 'are the hills rolling?', 'are the hills rolling or bumpy?']","[['yes', 'no'], ['river', 'lake', 'ocean', 'pond'], ['yes', 'no'], ['hills', 'mountains', 'plains', 'valleys'], ['yes', 'no'], ['flowing', 'running', 'sitting', 'standing'], ['yes', 'no'], ['green', 'red', 'blue', 'yellow'], ['yes', 'no'], ['curving', 'straight', 'winding', 'twisting'], ['yes', 'no'], ['rolling', 'bumpy', 'rough', 'smooth']]","['yes', 'river', 'yes', 'hills', 'yes', 'flowing', 'yes', 'green', 'yes', 'curving', 'yes', 'rolling']"
125,a winding river through a green valley,"['is this a river?', 'what type of place is this?', 'is this a valley?', 'what type of place is this?', 'is the valley green?', 'what color is the valley?', 'is the river winding?', 'is the river winding or straight?']","[['yes', 'no'], ['river', 'lake', 'ocean', 'pond'], ['yes', 'no'], ['valley', 'hill', 'mountain', 'plain'], ['yes', 'no'], ['green', 'red', 'blue', 'yellow'], ['yes', 'no'], ['winding', 'straight', 'curved', 'crooked']]","['yes', 'river', 'yes', 'valley', 'yes', 'green', 'yes', 'winding']"
126,flowing cyan water,"['is this water?', 'what type of liquid is this?', 'is the water flowing?', 'what is the water doing?', 'is the water cyan?', 'what color is the water?']","[['yes', 'no'], ['water', 'milk', 'juice', 'soda'], ['yes', 'no'], ['flowing', 'pooling', 'dripping', 'spilling'], ['yes', 'no'], ['cyan', 'red', 'yellow', 'blue']]","['yes', 'water', 'yes', 'flowing', 'yes', 'cyan']"
127,A single yellow balloon floating against a clear blue sky,"['is there a balloon?', 'what type of object is this?', 'is this a sky?', 'what type of place is this?', 'is the balloon floating?', 'what is the balloon doing?', 'is the balloon yellow?', 'what color is the balloon?', 'is the sky blue?', 'what color is the sky?', 'is the balloon single?', 'how many balloons are there?']","[['yes', 'no'], ['balloon', 'ball', 'cube', 'cylinder'], ['yes', 'no'], ['sky', 'park', 'forest', 'mountain'], ['yes', 'no'], ['floating', 'flying', 'falling', 'floating'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['1', '2', '3', '4']]","['yes', 'balloon', 'yes', 'sky', 'yes', 'floating', 'yes', 'yellow', 'yes', 'blue', 'yes', '1']"
128,A vintage wooden chair.,"['is this a chair?', 'what type of furniture is this?', 'is the chair vintage wooden?', 'is the chair vintage wooden or modern plastic?']","[['yes', 'no'], ['chair', 'table', 'bed', 'sofa'], ['yes', 'no'], ['vintage wooden', 'modern plastic', 'vintage metal', 'modern glass']]","['yes', 'chair', 'yes', 'vintage wooden']"
129,a fluffy white cat sleeping in a sunbeam,"['is this a cat?', 'what animal is in the picture?', 'is there a sunbeam?', 'what is the cat sleeping in?', 'is the cat sleeping?', 'what is the cat doing?', 'is the cat white?', 'what color is the cat?', 'is the cat fluffy?', 'is the cat fluffy or skinny?']","[['yes', 'no'], ['cat', 'dog', 'bird', 'fish'], ['yes', 'no'], ['sunbeam', 'chair', 'bed', 'sofa'], ['yes', 'no'], ['sleeping', 'eating', 'drinking', 'playing'], ['yes', 'no'], ['white', 'black', 'red', 'blue'], ['yes', 'no'], ['fluffy', 'skinny', 'fat', 'muscular']]","['yes', 'cat', 'yes', 'sunbeam', 'yes', 'sleeping', 'yes', 'white', 'yes', 'fluffy']"
130,A radial gradient of purple to pink applied to a star shape,"['is there a radial gradient?', 'what type of gradient is this?', 'is the gradient purple?', 'what color is the gradient?', 'is the gradient pink?', 'what color is the gradient?', 'is the shape a star?', 'what shape is this?', 'is the gradient applied to a star shape?']","[['yes', 'no'], ['radial gradient', 'linear gradient', 'vertical gradient', 'horizontal gradient'], ['yes', 'no'], ['purple', 'blue', 'red', 'yellow'], ['yes', 'no'], ['pink', 'red', 'yellow', 'blue'], ['yes', 'no'], ['star shape', 'circle shape', 'square shape', 'triangle shape'], ['yes', 'no']]","['yes', 'radial gradient', 'yes', 'purple', 'yes', 'pink', 'yes', 'star shape', 'yes']"
131,cerulean hexagons and golden spheres,"['are there hexagons?', 'what shape is this?', 'are there spheres?', 'what shape is this?', 'are the hexagons cerulean?', 'what color are the hexagons?', 'are the spheres golden?', 'what color are the spheres?']","[['yes', 'no'], ['hexagons', 'squares', 'circles', 'triangles'], ['yes', 'no'], ['spheres', 'cylinders', 'cones', 'pyramids'], ['yes', 'no'], ['cerulean', 'red', 'blue', 'yellow'], ['yes', 'no'], ['golden', 'silver', 'bronze', 'copper']]","['yes', 'hexagons', 'yes', 'spheres', 'yes', 'cerulean', 'yes', 'golden']"
132,A rustic wooden signpost pointing left,"['is this a signpost?', 'what type of object is this?', 'is the signpost pointing left?', 'what is the signpost doing?', 'is the signpost rustic?', 'is the signpost rustic or modern?', 'is the signpost wooden?', 'what is the material of the signpost?', 'is the signpost pointing left?', 'is the signpost pointing left or right?']","[['yes', 'no'], ['signpost', 'traffic light', 'street light', 'stop sign'], ['yes', 'no'], ['pointing', 'turning', 'stopping', 'starting'], ['yes', 'no'], ['rustic', 'modern', 'antique', 'old'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass'], ['yes', 'no'], ['left', 'right', 'up', 'down']]","['yes', 'signpost', 'yes', 'pointing', 'yes', 'rustic', 'yes', 'wooden', 'yes', 'left']"
133,A stylized chartreuse leaf with a thin dark green stem.,"['is this a leaf?', 'what type of plant is this?', 'is there a stem?', 'what is attached to the leaf?', 'is the leaf chartreuse?', 'what color is the leaf?', 'is the stem dark green?', 'what color is the stem?', 'is this a stylized leaf?']","[['yes', 'no'], ['leaf', 'flower', 'branch', 'root'], ['yes', 'no'], ['stem', 'branch', 'root', 'flower'], ['yes', 'no'], ['chartreuse', 'green', 'red', 'blue'], ['yes', 'no'], ['dark green', 'light green', 'red', 'blue'], ['yes', 'no']]","['yes', 'leaf', 'yes', 'stem', 'yes', 'chartreuse', 'yes', 'dark green', 'yes']"
134,abstract pattern of interlocking golden hexagons,"['is this an abstract pattern?', 'is this an abstract pattern, a real pattern, or a fictional pattern?', 'are the hexagons interlocking?', 'are the hexagons golden?', 'what color are the hexagons?', 'are the hexagons hexagons?', 'what shape are the hexagons?']","[['yes', 'no'], ['abstract pattern', 'real pattern', 'fictional pattern', 'geometric pattern'], ['yes', 'no'], ['yes', 'no'], ['golden', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['hexagons', 'squares', 'triangles', 'circles']]","['yes', 'abstract pattern', 'yes', 'yes', 'golden', 'yes', 'hexagons']"
135,a solitary oak tree on a misty hill,"['is this an oak tree?', 'what type of tree is this?', 'is this a hill?', 'what type of place is this?', 'is this a solitary oak tree?', 'is this a misty hill?', 'is this a misty or a sunny hill?']","[['yes', 'no'], ['oak tree', 'pine tree', 'maple tree', 'palm tree'], ['yes', 'no'], ['hill', 'mountain', 'valley', 'plain'], ['yes', 'no'], ['yes', 'no'], ['misty', 'sunny', 'rainy', 'snowy']]","['yes', 'oak tree', 'yes', 'hill', 'yes', 'yes', 'misty']"
136,a woven straw hat with a wide brim,"['is this a hat?', 'what type of clothing is this?', 'is there a brim?', 'what is on the hat?', 'is the hat woven?', 'is the brim wide?', 'is the brim wide or narrow?']","[['yes', 'no'], ['hat', 'shirt', 'pants', 'jacket'], ['yes', 'no'], ['brim', 'pin', 'bow', 'feather'], ['yes', 'no'], ['yes', 'no'], ['wide', 'narrow', 'thin', 'thick']]","['yes', 'hat', 'yes', 'brim', 'yes', 'yes', 'wide']"
137,A single oak leaf,"['is this an oak leaf?', 'what type of leaf is this?', 'is this a single leaf?', 'how many leaves are there?']","[['yes', 'no'], ['oak leaf', 'maple leaf', 'pine leaf', 'grass leaf'], ['yes', 'no'], ['1', '2', '3', '4']]","['yes', 'oak leaf', 'yes', '1']"
138,A weathered wooden signpost pointing towards a distant mountain range,"['is this a signpost?', 'what type of object is this?', 'is there a mountain range?', 'what type of place is this?', 'is the signpost pointing towards the mountain range?', 'is the signpost weathered?', 'is the signpost weathered or new?', 'is the mountain range distant?', 'is the mountain range distant or close?', 'is the signpost wooden?', 'what is the material of the signpost?']","[['yes', 'no'], ['signpost', 'banner', 'poster', 'billboard'], ['yes', 'no'], ['mountain range', 'valley', 'forest', 'beach'], ['yes', 'no'], ['yes', 'no'], ['weathered', 'new', 'old', 'broken'], ['yes', 'no'], ['distant', 'close', 'far', 'near'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass']]","['yes', 'signpost', 'yes', 'mountain range', 'yes', 'yes', 'weathered', 'yes', 'distant', 'yes', 'wooden']"
139,A steaming cup of coffee,"['is there a cup of coffee?', 'what type of container is this?', 'is there coffee?', 'what type of drink is this?', 'is the cup steaming?', 'what is the cup doing?']","[['yes', 'no'], ['cup', 'bowl', 'plate', 'glass'], ['yes', 'no'], ['coffee', 'tea', 'water', 'milk'], ['yes', 'no'], ['steaming', 'boiling', 'cooling', 'freezing']]","['yes', 'cup', 'yes', 'coffee', 'yes', 'steaming']"
140,A dynamic splash of vibrant orange paint,"['is this paint?', 'what type of paint is this?', 'is there a splash of paint?', 'what type of movement is this?', 'is the paint vibrant orange?', 'what color is the paint?', 'is the splash dynamic?', 'is the splash dynamic or static?']","[['yes', 'no'], ['paint', 'ink', 'dye', 'glue'], ['yes', 'no'], ['splash', 'drop', 'pour', 'spread'], ['yes', 'no'], ['vibrant orange', 'pure orange', 'orange', 'light orange'], ['yes', 'no'], ['dynamic', 'static', 'slow', 'fast']]","['yes', 'paint', 'yes', 'splash', 'yes', 'vibrant orange', 'yes', 'dynamic']"
141,"A thin, jagged red line on a transparent background.","['is there a line on the background?', 'what type of object is this?', 'is there a background?', 'what type of object is this?', 'is the line red?', 'what color is the line?', 'is the line thin?', 'is the line thin or thick?', 'is the line jagged?', 'is the line jagged or smooth?']","[['yes', 'no'], ['line', 'circle', 'square', 'triangle'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['red', 'black', 'white', 'yellow'], ['yes', 'no'], ['thin', 'thick', 'wide', 'narrow'], ['yes', 'no'], ['jagged', 'smooth', 'round', 'oval']]","['yes', 'line', 'yes', 'background', 'yes', 'red', 'yes', 'thin', 'yes', 'jagged']"
142,a golden desert under a setting sun,"['is this a desert?', 'what type of place is this?', 'is this the sun?', 'what is in the sky?', 'is the desert golden?', 'what color is the desert?', 'is the sun setting?', 'is the sun setting or rising?', 'is the desert under the sun?', 'is the desert under the sun or next to it?']","[['yes', 'no'], ['desert', 'forest', 'mountain', 'beach'], ['yes', 'no'], ['sun', 'moon', 'star', 'cloud'], ['yes', 'no'], ['golden', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['setting', 'rising', 'noon', 'midnight'], ['yes', 'no'], ['under', 'next to', 'behind', 'in front of']]","['yes', 'desert', 'yes', 'sun', 'yes', 'golden', 'yes', 'setting', 'yes', 'under']"
143,Emerald lines forming a radial pattern,"['are there lines forming a radial pattern?', 'what type of shape is this?', 'is there a radial pattern?', 'what type of pattern is this?', 'are the lines forming a radial pattern?', 'are the lines emerald?', 'what color are the lines?']","[['yes', 'no'], ['lines', 'circles', 'squares', 'triangles'], ['yes', 'no'], ['radial pattern', 'checks', 'stripes', 'dots'], ['yes', 'no'], ['yes', 'no'], ['emerald', 'red', 'blue', 'yellow']]","['yes', 'lines', 'yes', 'radial pattern', 'yes', 'yes', 'emerald']"
144,a shimmering portal to another dimension,"['is this a portal?', 'what type of object is this?', 'is the portal shimmering?', 'what is the portal doing?', 'is the portal to another dimension?', 'is the portal to another dimension or to this dimension?']","[['yes', 'no'], ['portal', 'door', 'window', 'mirror'], ['yes', 'no'], ['shimmering', 'glowing', 'flashing', 'reflecting'], ['yes', 'no'], ['to another dimension', 'to this dimension', 'to the past', 'to the future']]","['yes', 'portal', 'yes', 'shimmering', 'yes', 'to another dimension']"
145,gold circles overlapping on a dark green background,"['are there circles?', 'what shape is this?', 'is there a background?', 'what is in the background?', 'are the circles overlapping?', 'are the circles gold?', 'what color are the circles?', 'is the background dark green?', 'what color is the background?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['dark green', 'light green', 'red', 'blue']]","['yes', 'circles', 'yes', 'background', 'yes', 'yes', 'gold', 'yes', 'dark green']"
146,a navy blue tweed jacket with gold buttons,"['is this a jacket?', 'what type of clothing is this?', 'are there buttons on the jacket?', 'what is on the jacket?', 'is the jacket navy blue?', 'what color is the jacket?', 'are the buttons gold?', 'what color are the buttons?', 'is the jacket tweed?', 'what is the material of the jacket?']","[['yes', 'no'], ['jacket', 'shirt', 'pants', 'skirt'], ['yes', 'no'], ['buttons', 'zippers', 'pockets', 'loops'], ['yes', 'no'], ['navy blue', 'black', 'red', 'white'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['tweed', 'wool', 'cotton', 'silk']]","['yes', 'jacket', 'yes', 'buttons', 'yes', 'navy blue', 'yes', 'gold', 'yes', 'tweed']"
147,a vintage clock face with roman numerals,"['is this a clock face?', 'what type of object is this?', 'are there roman numerals?', 'what type of numbers are these?', 'is this a vintage clock face?', 'is this a vintage or a modern clock face?']","[['yes', 'no'], ['clock face', 'watch', 'timer', 'alarm'], ['yes', 'no'], ['roman numerals', 'arabic numerals', 'chinese numerals', 'japanese numerals'], ['yes', 'no'], ['vintage', 'modern', 'antique', 'new']]","['yes', 'clock face', 'yes', 'roman numerals', 'yes', 'vintage']"
148,a single yellow star on a black background,"['is there a star on the background?', 'what is on the background?', 'is there a background?', 'what is behind the star?', 'is the star yellow?', 'what color is the star?', 'is the background black?', 'what color is the background?', 'is there a single star?', 'how many stars are there?']","[['yes', 'no'], ['star', 'circle', 'square', 'triangle'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['black', 'white', 'gray', 'brown'], ['yes', 'no'], ['1', '2', '3', '4']]","['yes', 'star', 'yes', 'background', 'yes', 'yellow', 'yes', 'black', 'yes', '1']"
149,yellow leather gloves,"['are these gloves?', 'what type of clothing is this?', 'are the gloves yellow?', 'what color are the gloves?', 'are the gloves leather?', 'what is the material of the gloves?']","[['yes', 'no'], ['gloves', 'hat', 'scarf', 'socks'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['leather', 'cloth', 'plastic', 'glass']]","['yes', 'gloves', 'yes', 'yellow', 'yes', 'leather']"
150,Gold hexagons tiled on a black plane,"['are there gold hexagons?', 'what type of shape is this?', 'is there a plane?', 'what type of shape is this?', 'are the gold hexagons tiled?', 'are the gold hexagons gold?', 'what color are the gold hexagons?', 'is the plane black?', 'what color is the plane?']","[['yes', 'no'], ['gold hexagons', 'silver hexagons', 'bronze hexagons', 'copper hexagons'], ['yes', 'no'], ['plane', 'sphere', 'cylinder', 'cone'], ['yes', 'no'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['black', 'white', 'red', 'blue']]","['yes', 'gold hexagons', 'yes', 'plane', 'yes', 'yes', 'gold', 'yes', 'black']"
151,sapphire rings orbiting a pearl star,"['are there sapphire rings orbiting a pearl star?', 'what type of object is this?', 'is there a pearl star?', 'what type of object is this?', 'are the sapphire rings orbiting a pearl star?', 'are the rings sapphire?', 'what color are the rings?']","[['yes', 'no'], ['rings', 'earrings', 'necklaces', 'bracelets'], ['yes', 'no'], ['pearl star', 'sun', 'moon', 'star'], ['yes', 'no'], ['yes', 'no'], ['sapphire', 'ruby', 'emerald', 'diamond']]","['yes', 'rings', 'yes', 'pearl star', 'yes', 'yes', 'sapphire']"
152,A black and white striped umbrella,"['is this an umbrella?', 'what type of object is this?', 'is the umbrella black and white striped?', 'what color is the umbrella?']","[['yes', 'no'], ['umbrella', 'hat', 'coat', 'bag'], ['yes', 'no'], ['black and white striped', 'black', 'white', 'gray']]","['yes', 'umbrella', 'yes', 'black and white striped']"
153,Swirling lines in a gradient from crimson to violet.,"['are there lines in the gradient?', 'what type of shape is this?', 'is there a gradient?', 'what type of pattern is this?', 'are the lines swirling?', 'is the color crimson?', 'what color is the background?', 'is the color violet?', 'what color is the foreground?']","[['yes', 'no'], ['lines', 'circles', 'squares', 'triangles'], ['yes', 'no'], ['gradient', 'stripes', 'dots', 'squares'], ['yes', 'no'], ['yes', 'no'], ['crimson', 'black', 'white', 'gray'], ['yes', 'no'], ['violet', 'red', 'blue', 'green']]","['yes', 'lines', 'yes', 'gradient', 'yes', 'yes', 'crimson', 'yes', 'violet']"
154,Golden yellow triangles nested within each other.,"['are there triangles?', 'what shape are the triangles?', 'are the triangles nested within each other?', 'what are the triangles doing?', 'are the triangles golden yellow?', 'what color are the triangles?', 'are the triangles within each other?', 'are the triangles within each other or outside of each other?']","[['yes', 'no'], ['triangles', 'squares', 'circles', 'rectangles'], ['yes', 'no'], ['nested', 'overlapping', 'separated', 'touching'], ['yes', 'no'], ['golden yellow', 'pure yellow', 'orange', 'green'], ['yes', 'no'], ['within', 'outside', 'on top of', 'under']]","['yes', 'triangles', 'yes', 'nested', 'yes', 'golden yellow', 'yes', 'within']"
155,a wooden chair with a carved back,"['is this a chair?', 'what type of furniture is this?', 'is there a back?', 'what is on the chair?', 'is the chair wooden?', 'what is the material of the chair?', 'is the back carved?', 'is the back carved or painted?']","[['yes', 'no'], ['chair', 'table', 'bed', 'sofa'], ['yes', 'no'], ['back', 'seat', 'arm', 'leg'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass'], ['yes', 'no'], ['carved', 'painted', 'printed', 'stained']]","['yes', 'chair', 'yes', 'back', 'yes', 'wooden', 'yes', 'carved']"
156,scattered emerald facets reflecting light on a textured graphite surface,"['are there facets?', 'what type of object is this?', 'is there light?', 'what type of object is this?', 'is there a surface?', 'what type of object is this?', 'are the facets scattered?', 'are the facets reflecting light?', 'are the facets emerald?', 'what color are the facets?', 'is the light green?', 'what color is the light?']","[['yes', 'no'], ['facets', 'angles', 'corners', 'edges'], ['yes', 'no'], ['light', 'darkness', 'shadow', 'darkness'], ['yes', 'no'], ['surface', 'object', 'material', 'material'], ['yes', 'no'], ['yes', 'no'], ['yes', 'no'], ['emerald', 'ruby', 'sapphire', 'diamond'], ['yes', 'no'], ['green', 'red', 'blue', 'yellow']]","['yes', 'facets', 'yes', 'light', 'yes', 'surface', 'yes', 'yes', 'yes', 'emerald', 'yes', 'green']"
157,A solitary red apple.,"['is this an apple?', 'what fruit is in the picture?', 'is the apple red?', 'what color is the apple?', 'is the apple solitary?', 'is the apple solitary or in a group?']","[['yes', 'no'], ['apple', 'orange', 'banana', 'pear'], ['yes', 'no'], ['red', 'green', 'yellow', 'blue'], ['yes', 'no'], ['solitary', 'in a group', 'in a row', 'in a stack']]","['yes', 'apple', 'yes', 'red', 'yes', 'solitary']"
158,a misty morning in an enchanted forest,"['is this a misty morning?', 'what type of weather is this?', 'is this a morning?', 'what type of time is this?', 'is this an enchanted forest?', 'what type of place is this?']","[['yes', 'no'], ['misty', 'rainy', 'snowy', 'sunny'], ['yes', 'no'], ['morning', 'night', 'noon', 'evening'], ['yes', 'no'], ['enchanted forest', 'park', 'forest', 'mountain']]","['yes', 'misty', 'yes', 'morning', 'yes', 'enchanted forest']"
